,title,artist,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,time_signature,genre
36,Atlantico,Tall Juan,38,0.6,0.51,9,-8.318,1,0.0446,0.16,0.000314,0.424,0.512,120.4,5w1jx2L5Y7eOfEUOvqdIIS,190297,4,indie
37,Coast - Spotify Studios Recording,Augustine,55,0.819,0.655,9,-7.171,1,0.0487,0.00934,0.00016,0.292,0.681,120.01,23KRFSsLa3UQ8FMY6KQ63i,172718,4,indie
38,Flow Now,Froogle,51,0.741,0.758,2,-5.671,1,0.0424,0.63,0.0653,0.11,0.362,103.906,4xoF9Pzc1oIAEq8Hyx1Q5F,143077,4,indie
39,Hello Sun,Joey Pecoraro,46,0.478,0.682,8,-9.262,1,0.0323,0.307,0.823,0.242,0.442,174.035,5GOs3BNuWlIfaAQQJNdgJD,215172,4,indie
40,Even If I Tried,Jenny O.,39,0.552,0.841,2,-7.436,1,0.028,0.116,0.411,0.351,0.632,139.993,6bJuizondoVd88ds5oZThT,198230,4,indie
41,Without You,Perfume Genius,60,0.649,0.755,9,-5.33,1,0.0288,0.0677,0.00683,0.346,0.832,133.512,2SPxgEush9C8GS5RqgXdqi,155547,4,indie
42,Guys,The 1975,71,0.384,0.579,6,-8.216,1,0.0295,0.00297,0.000894,0.213,0.435,203.795,1qQJWohzIrKMNIz6pyyKYw,269929,4,indie
43,Say It - Spotify Studios Recording,girl in red,65,0.518,0.777,10,-6.958,1,0.0325,0.0328,0.0,0.282,0.749,171.925,4677jRCDMa05jcA94EQ0hG,173175,4,indie
44,ALL THESE INSTRUMENTS,Nick Hakim,43,0.642,0.523,7,-10.223,1,0.0375,0.666,0.884,0.344,0.257,101.024,1AbDNLyJWZVPn0Q3XJNcFQ,249211,4,indie
45,alley-oop,Dijon,57,0.536,0.227,11,-14.15,1,0.35,0.692,0.000112,0.112,0.555,116.411,6IERGfMBe3csfANIuQ74D9,173978,3,indie
46,Bless Me,Moses Sumney,49,0.395,0.507,0,-7.653,1,0.0392,0.746,0.00247,0.127,0.251,137.218,5URJoEaO52ep2AhSUpeos4,299813,4,indie
47,I Want Troll With You - Gentle Dom Remix,Connan Mockasin,46,0.8,0.431,3,-14.328,0,0.0521,0.166,0.654,0.0666,0.888,90.966,7HkEcOI0XrGj7gPrFd5O95,282633,4,indie
48,Isolation,Two Door Cinema Club,59,0.362,0.465,2,-14.576,1,0.0595,0.00956,0.0,0.264,0.287,125.634,75cVF6T9rA3ElEfhKWDjBb,171905,4,indie
49,Innocent,Teenage Priest,50,0.595,0.714,9,-5.329,0,0.0601,0.151,0.0506,0.124,0.588,189.905,6irqzozBaaBp1ZvbBnoxzr,212166,4,indie
50,VERY ALONE,Zaia,51,0.928,0.559,2,-12.164,1,0.0395,0.15,0.0401,0.0963,0.962,103.017,1LCgehdvJ91SgSRuI7Ez90,131147,4,indie
51,Loner,Dehd,45,0.652,0.709,7,-5.88,1,0.0355,0.396,0.00012,0.28,0.772,148.192,40Pa7wCFSPRD5sOeExd5uo,192299,4,indie
52,Temple,Thao & The Get Down Stay Down,47,0.674,0.656,2,-7.365,1,0.0354,0.0349,0.0931,0.37,0.412,115.984,1Go4afSwKNJCZta8ieXEkt,250570,4,indie
53,"(What's So Funny 'Bout) Peace, Love and Understanding?",Sharon Van Etten,54,0.465,0.322,7,-10.47,1,0.0279,0.645,0.000226,0.0977,0.084,98.067,4QORWVieqLfAYYdbAdScHL,266093,4,indie
54,Jason,Perfume Genius,61,0.517,0.325,1,-7.599,1,0.0301,0.35,1.8e-05,0.0847,0.343,73.375,4pCo0hx75daUKKkfi1XXOO,185827,3,indie
55,I'll Take It Boring,Jordana,43,0.649,0.773,5,-4.88,1,0.048,0.552,7.32e-05,0.12,0.378,145.018,1YXevBwffBF9tH0IC1D1yt,189517,4,indie
56,rock n roll,Dijon,59,0.522,0.338,0,-10.511,1,0.445,0.493,9.47e-06,0.0933,0.564,107.474,2mqSzhWWZePP0un56ikszA,142451,1,indie
57,Biz,ARTHUR,39,0.684,0.814,2,-6.548,1,0.0377,0.149,0.048,0.382,0.494,97.98,0iRCLW1LFNWc0KGCQgL2vM,202536,4,indie
58,Half-Moon Bag,Feng Suave,50,0.577,0.347,4,-12.985,1,0.0271,0.656,0.000122,0.361,0.564,100.041,0Y0yykDeSGqg0whcAh5wHR,274267,4,indie
59,out 4 a breather,dad sports,41,0.68,0.529,5,-7.139,1,0.0285,0.331,0.0146,0.137,0.69,127.022,73aXl4EIbQsY8ufuopTAaZ,201857,4,indie
60,Black Dog,Arlo Parks,65,0.673,0.555,1,-8.025,0,0.035,0.688,0.00739,0.109,0.398,86.376,1NGPZKzplieiPc5g6lAJ49,225454,4,indie
61,Dream World,The Growlers,58,0.438,0.9,6,-5.542,0,0.0379,0.000878,0.00548,0.0725,0.867,138.374,3HlM5CBcbCjbSupnIB42d4,198934,4,indie
62,Money Is The One True God,Blake Mills,50,0.285,0.179,4,-17.478,0,0.0314,0.957,0.767,0.107,0.317,178.025,6hJ11P5ojoMyBRBMQdjNcH,415867,4,indie
63,Beginning - Edit,LA Priest,46,0.879,0.615,8,-4.965,1,0.0361,0.664,3.03e-06,0.151,0.968,109.982,2KgYNZYAFu29NDdlK6rM1P,210682,4,indie
64,Lose Your Love,Dirty Projectors,53,0.855,0.534,8,-4.972,1,0.0402,0.509,0.0152,0.203,0.549,121.992,2KpLTifd1200bJxmxc2LSt,168853,4,indie
65,Nydia,Buscabulla,47,0.682,0.605,1,-9.343,1,0.0516,0.0225,0.48,0.114,0.364,108.956,7ukQ49ilGpTfivGRtYda4E,253985,4,indie
66,Sunday,Lonely God,54,0.719,0.738,11,-5.653,0,0.0391,0.0139,0.000197,0.068,0.505,128.006,6X8AAASfTGuODSiZ63vGpL,155391,4,indie
67,Beautiful,Rhye,62,0.817,0.306,10,-11.959,1,0.0535,0.112,0.163,0.158,0.402,91.014,0UldHegZYf4q7bYDSGBZhq,262533,4,indie
68,First Time,Becca Mancari,47,0.685,0.647,7,-5.571,1,0.0377,0.0397,0.000254,0.152,0.674,123.934,7e0MiLm35bJhjevtHv0QCD,163713,4,indie
69,The Line,Westerman,39,0.822,0.44,0,-8.664,1,0.0357,0.648,0.0134,0.105,0.52,121.999,2lWGcSokR7jEgX4lCv2CPj,196773,4,indie
70,Mother,Eve Owen,41,0.457,0.762,8,-5.389,1,0.0389,0.0276,0.82,0.139,0.819,149.999,0uLTpCTTGk8cxNa3XaAD3S,195373,3,indie
71,Insomnia,Kllo,42,0.628,0.623,5,-7.032,1,0.0526,0.595,0.184,0.0984,0.0937,82.522,14Negi3qQO2c9X6zOCvhj4,216797,4,indie
72,Sleep On The Wing,Bibio,55,0.38,0.333,9,-11.507,1,0.0284,0.8,0.891,0.134,0.358,79.891,6tTe0OQKcrDEIUdErwG4hJ,210040,3,indie
73,Paper Thin,Lianne La Havas,64,0.714,0.243,0,-13.513,1,0.0479,0.646,0.21,0.11,0.504,125.832,1rV59uezLaLErSyjNHPhTJ,298720,4,indie
74,Can't Get Out,Woods,45,0.586,0.913,7,-5.877,1,0.0318,0.386,0.112,0.704,0.934,134.976,5LiiSLOQaBdTjOn7XkwWiC,318731,4,indie
75,as good as it gets,sophie meiers,53,0.662,0.391,7,-9.562,1,0.0285,0.242,0.0,0.142,0.349,97.839,2dzxhYF58sHCpdW9Gzmomu,176994,4,indie
76,She's Stronger,Nana Adjoa,41,0.687,0.541,6,-9.974,0,0.0415,0.051,0.188,0.101,0.79,144.015,4wiv6H2jfrs7Fa7I4oihZ8,203172,4,indie
77,Come to You,Wet,51,0.728,0.237,1,-19.555,1,0.038,0.571,0.048,0.113,0.245,99.994,6JPeF7rovGOTHeNOAPAMcX,230289,4,indie
78,Butterflies,Fiji Blue,62,0.729,0.525,8,-7.241,1,0.0995,0.228,4.36e-05,0.309,0.782,110.012,3qOcLXQaamgc5R7pDQKQQp,176481,4,indie
79,Running,Ralph Castelli,44,0.852,0.575,0,-8.786,0,0.0542,0.145,0.333,0.0732,0.895,136.003,4pbZ4wFXjGa92CsOlrscDL,158988,4,indie
80,Habitat,Momma,38,0.361,0.546,2,-9.345,1,0.0299,0.0496,0.328,0.189,0.16,172.016,1LvoPSZ46DFNTTSsBGU4t2,305379,1,indie
81,I Know Alone,HAIM,62,0.771,0.658,0,-6.93,1,0.0721,0.139,0.0111,0.117,0.355,128.074,4OwAVWPdiLsPCXG5adO2Cd,226027,4,indie
82,Love in Mine,Big Thief,57,0.45,0.563,3,-11.03,1,0.0301,0.59,0.0709,0.115,0.361,75.844,02VM3vd7Fj9pf0ojrzDOXB,198280,4,indie
83,Treat You Right,Yellow Days,56,0.714,0.804,1,-6.142,1,0.0429,0.107,0.00223,0.158,0.869,106.04,7ItOfW0Phlgis72tCdIcsw,261012,4,indie
84,Time (You and I),Khruangbin,67,0.751,0.491,11,-13.677,1,0.045,0.00945,0.149,0.0708,0.926,105.408,2QoiyjegLQ3DWKBfFX9ihX,342189,4,indie
85,I Know It,Chicano Batman,38,0.599,0.87,6,-6.333,0,0.106,0.107,0.0293,0.694,0.87,91.18,7uLJUEnHIbLNyjRltSd1Eg,151360,4,indie
86,Is There Something In The Movies?,Samia,23,0.453,0.101,7,-13.013,1,0.0502,0.914,0.0,0.0889,0.153,75.145,38eArj40ijTenXtpbpMPnj,210173,4,indie
87,To Be A Woman Pt. 2,Fenne Lily,47,0.512,0.631,5,-7.964,0,0.0305,0.526,0.131,0.0881,0.467,147.581,41KmdDUc6DX6m4PKTglbkE,195133,4,indie
88,Dreamland,Glass Animals,69,0.253,0.352,8,-11.509,1,0.0357,0.883,0.00191,0.0668,0.099,141.97,5Bkw0lMhwk8tF4kMgCCJLv,203492,5,indie
89,Sunny Afternoon,Benny Sings,53,0.833,0.45,1,-9.788,1,0.0829,0.0887,0.00113,0.0873,0.432,101.775,7srVFtzbY8ok5UFzuN0b8P,171867,4,indie
90,bummy!,boylife,55,0.731,0.586,7,-7.95,1,0.0696,0.115,0.0017,0.146,0.248,144.02,3Cb1BM69vKCwiJu5aoEADz,176741,4,indie
91,You Got a Feeling,Caveman,39,0.468,0.756,11,-7.588,0,0.0432,0.0317,0.0119,0.115,0.532,120.833,6RlNDC7lECldGxjdmOFEVy,212625,4,indie
92,You're Too Precious,James Blake,68,0.684,0.477,1,-9.458,1,0.14,0.886,0.366,0.103,0.297,149.89,5teYCP3pROESCEaASCVf5w,223900,3,indie
93,First Aid,Gus Dapperton,63,0.599,0.458,10,-4.366,0,0.0266,0.0114,0.00464,0.0996,0.352,69.971,2imAA5ofcn4dCRVNjKyEq3,268765,4,indie
94,If You’re Too Shy (Let Me Know) - Edit,The 1975,77,0.651,0.806,2,-4.842,1,0.0311,0.00399,0.00455,0.0927,0.386,125.641,3iEqGBZ2wcpVzhiAcwXVC6,239877,4,indie
95,There Must Be More Than Blood,Car Seat Headrest,53,0.684,0.711,9,-6.476,1,0.0263,0.0131,0.238,0.0619,0.477,144.016,0DodvoV40rsxLewqzzWEeb,453750,4,indie
96,Wake UP!,Hazel English,30,0.517,0.918,1,-5.962,0,0.195,0.00027,0.012,0.0615,0.398,150.022,2gPCBa2nEfPLo7nXrpC52b,213024,4,indie
97,Wheel,Katie Von Schleicher,41,0.708,0.808,1,-6.245,1,0.0342,0.132,0.0425,0.121,0.731,136.914,65gOOCWPnZLmQIGFa1lL76,135840,4,indie
98,Santa Barbara,Angelo De Augustine,55,0.597,0.157,7,-17.199,0,0.0451,0.962,0.0259,0.107,0.498,81.009,0v6lbGn9fC1YEa7WQZjFNX,194027,4,indie
99,Tell Me,NEIL FRANCES,57,0.83,0.532,7,-10.855,0,0.0409,0.119,0.00114,0.112,0.891,120.046,5EOqiwraZrbF6metpe4F3u,198000,4,indie
100,Waiting For (feat. Jamila Woods),rum.gold,62,0.737,0.379,2,-11.644,0,0.0894,0.201,1.1e-05,0.0806,0.595,121.998,02nZeTbm2dRHisH6qsUM5E,200215,4,indie
101,Riri,Aminé,65,0.812,0.628,10,-6.128,0,0.0327,0.0467,1.65e-06,0.226,0.506,121.99,4qMlF2uBW2PtGSEMHPcNnZ,182139,4,indie
102,S'en aller,Swing,61,0.814,0.422,1,-8.697,0,0.0489,0.606,0.00405,0.139,0.378,124.998,3ATo60fpicfxwZ0daRatlU,264080,4,indie
103,Call Your Name,Tora,56,0.603,0.633,5,-4.148,0,0.0334,0.0473,2.8e-05,0.433,0.0894,86.971,2hwf6IE0V4MVqw9tbWY9FQ,196082,4,indie
104,Everything,Kota the Friend,59,0.914,0.57,6,-7.76,1,0.25,0.238,0.0,0.127,0.612,140.103,2bxv3LXImGMQNywgK3b9Hg,209280,4,indie
105,Ritmo Coco,Juls,46,0.889,0.454,2,-12.979,1,0.14,0.0427,0.908,0.102,0.45,117.95,1ZS1jIvAsmlx09ltztNur1,261098,4,indie
106,"Something to Rap About (feat. Tyler, The Creator)",Freddie Gibbs,66,0.406,0.524,5,-11.071,1,0.255,0.469,3.95e-06,0.117,0.412,56.046,5OkYfk72CNL8XLqa3gp9q7,282560,4,indie
107,You Can't Save Me,SiR,66,0.623,0.585,0,-7.895,1,0.124,0.0628,0.000155,0.119,0.538,158.273,5LKzqs734Xs528hqK8bGS1,174947,4,indie
108,Overseas,Thundercat,57,0.849,0.604,2,-8.464,0,0.0338,0.44,0.0915,0.78,0.714,119.945,1iGOI54dl6Ps1kYlSpPZzg,88453,4,indie
109,Growing Up/Mother God,Deante' Hitchcock,52,0.539,0.757,11,-5.069,0,0.287,0.814,3.94e-06,0.237,0.372,108.828,0hvMMP2It7vjCdaPyJIbAD,302160,5,indie
110,Tonight (I Wish I Was Your Boy),The 1975,75,0.478,0.456,7,-6.844,1,0.0529,0.122,1.98e-05,0.214,0.268,171.9,7DmTaJoM7L020qm3egqNsM,247265,4,indie
111,Find A Way,Duckwrth,47,0.788,0.85,7,-6.032,0,0.0797,0.439,5.27e-05,0.183,0.865,123.989,22bt49l5GxoUkSzivRk3bw,229840,4,indie
112,INNERSTATE,Zaia,58,0.714,0.609,0,-7.811,1,0.0599,0.00518,0.018,0.116,0.247,167.89,5yQK2KygOPaDjgFutqlqRv,162773,4,indie
113,೧ູ࿃ूੂ༽oooooo(ଳծູ ̟̞̝̜̙̘̗̖҉̵̴̨̧̢̡̼̻̺̹̳̲̱̰̯̮̭̬̫̪̩̦̥̤̣̠҈͈͇͉͍͎͓͔͕͖͙͚͜͢͢͢͢͢͢͢͢͢͢͢͢͢͢ͅ l̡̡̡ ̡͌l̡*̡̡ ̴̡ı̴̴̡ ̡̡͡| ̲̲͡ π̲̲͡͡ ɵੂ≢)_̴I,⣎⡇ꉺლ༽இ•̛)ྀ◞ ༎ຶ ༽ৣৢ؞ৢ؞ؖ ꉺლ,45,0.681,0.746,11,-8.4,0,0.0417,0.196,0.544,0.0719,0.327,131.989,40tacju7V51CMZg2C7hNQH,234545,4,indie
114,Long Beach,Kota the Friend,65,0.809,0.613,2,-8.402,1,0.175,0.0685,0.0,0.107,0.562,104.991,6tqIes4TjudsjfIpK4P2Jh,252779,4,indie
115,Blade Of Hope,Leo Bhanji,48,0.618,0.535,0,-11.418,1,0.488,0.891,0.105,0.0799,0.327,165.932,3aNYisjLM8Wheus3XR7RZb,130537,4,indie
116,"Automatic Driver - Tyler, The Creator Remix",La Roux,64,0.551,0.417,0,-7.028,1,0.028,0.471,0.0,0.344,0.53,96.906,59S3SiDxj914oyXd25zt3j,210674,4,indie
117,Window,Still Woozy,73,0.714,0.483,4,-9.378,0,0.195,0.436,2.3e-05,0.28,0.67,91.025,3hARuUtzTdUuWH1KiLJlSf,139293,4,indie
118,Like this,박혜진 Park Hye Jin,57,0.704,0.542,2,-11.167,1,0.0355,0.164,0.909,0.0779,0.18,125.06,69m0nk21Qs3xPCb99FHEpY,245805,4,indie
119,Hell N Back,Bakar,67,0.584,0.684,10,-4.314,0,0.567,0.312,9.05e-05,0.112,0.72,210.164,3NRql0A1Ef4RCvT473iqgD,213573,4,indie
120,Tape,Starchild & The New Romantic,51,0.768,0.844,6,-5.047,1,0.121,0.721,0.00961,0.105,0.677,143.972,2JT2y6PNL5705FdiozSsiu,145272,4,indie
121,JUMO (feat. Valee),Zaia,56,0.762,0.702,1,-9.938,0,0.0758,0.08,0.129,0.246,0.978,150.989,5tdZSNA5oYHNsaz68wf67K,187160,4,indie
122,Apartment,Free Nationals,54,0.736,0.816,11,-7.306,0,0.0465,0.34,0.048,0.0977,0.909,162.065,3bt6rnq9mCrq1XStEcGaNl,184574,4,indie
123,327,Westside Gunn,67,0.42,0.701,1,-7.582,0,0.339,0.832,0.0,0.103,0.671,79.716,5MvCurNMpM3WCCSs40cd37,349040,4,indie
124,I! Gits! Weary!,keiyaA,47,0.726,0.19,6,-17.185,0,0.0938,0.867,0.0789,0.224,0.36,102.048,7cVgrUpBM6dCunfSCvIjPn,125984,4,indie
125,Chika (Scared),Fred again..,47,0.688,0.413,6,-11.68,1,0.145,0.554,0.006,0.123,0.183,119.975,2H4fyRrfw66LfSEOZfI2di,168245,4,indie
126,Lightning,Orion Sun,57,0.719,0.539,5,-7.86,0,0.0425,0.271,5.81e-05,0.172,0.522,92.914,6dWTbTnetFvbRVvUGH43jK,187093,4,indie
127,Nothin' 2 Say (Never Forget),MIKE,47,0.567,0.72,6,-10.532,1,0.109,0.21,6e-06,0.21,0.455,92.347,3oKryR9XINssPC7NmWoQHO,164080,4,indie
128,I Know Alone,HAIM,63,0.771,0.658,0,-6.93,1,0.0721,0.139,0.0111,0.117,0.355,128.074,7CbxeQuHA0uysmwrbuWoSI,226027,4,indie
129,B.Q.E,Kota the Friend,62,0.742,0.674,9,-5.642,0,0.154,0.154,0.0,0.122,0.732,139.878,6PrfQSePTkviCG7T34qKef,233143,4,indie
130,35.31,Childish Gambino,64,0.798,0.559,5,-10.868,1,0.0592,0.286,0.0,0.349,0.604,102.018,4vS4FB3HXgOSmICeqEY0Gh,236507,4,indie
131,DHL,Frank Ocean,70,0.819,0.458,4,-10.223,0,0.167,0.582,0.173,0.128,0.232,122.981,2INhKpUdzh7v0j041gZNsz,268893,4,indie
132,End Summer,Goth Babe,59,0.34,0.724,6,-8.572,0,0.416,0.388,0.000371,0.139,0.365,191.604,1OQEF0LsL7KMQmBZSiUcdE,270838,4,indie
133,Shook,Tkay Maidza,48,0.895,0.791,4,-4.581,0,0.202,0.0513,0.0,0.384,0.607,106.048,1CsSB1GgfpHoEvWAWy0Swp,162736,4,indie
134,Yayo,Yung Lean,60,0.555,0.698,8,-8.706,1,0.0477,0.246,0.203,0.108,0.517,77.008,7nHEmkpURecKykfN53r9F5,157293,4,indie
135,Photo ID,Remi Wolf,60,0.822,0.66,1,-3.637,1,0.0819,0.111,0.0,0.143,0.802,113.956,0fzE5LlGfQwJLvEiJ7UqUZ,265263,4,indie
136,BALD! REMIX,JPEGMAFIA,65,0.721,0.949,1,0.402,1,0.31,0.181,0.0,0.646,0.705,155.015,10hKTZyq2N6iSULhpZXrDd,153127,4,indie
137,WHOLE WORLD (feat. Maxo),Earl Sweatshirt,62,0.591,0.457,4,-11.706,1,0.419,0.572,0.00249,0.11,0.375,141.157,6zW8vtUkHvo6PfpYhh3T53,207515,4,indie
138,Language,Mindchatter,47,0.793,0.673,2,-12.047,1,0.0862,0.0387,0.135,0.0947,0.4,116.02,7sYeRkHhaQdb4MVHsMzdoj,175819,4,indie
139,"might bang, might not",Little Simz,62,0.431,0.731,11,-6.188,0,0.0489,0.00709,0.0,0.35,0.644,176.515,0lAenyfo765pFS0irWQ0sG,126463,5,indie
140,Why Worry,Isaiah Rashad,66,0.287,0.87,1,-6.689,0,0.293,0.00291,0.0,0.0609,0.681,81.162,0M5pEUmRD3b4nP31L88IdL,150562,4,indie
141,No Más!,Grip,47,0.601,0.875,11,-6.382,0,0.194,0.00856,0.0,0.404,0.34,92.178,3Sxd2zTEoWwMPAVbBJGwAC,186000,4,indie
142,Nightrider,Tom Misch,65,0.729,0.571,11,-9.188,0,0.0869,0.0774,0.213,0.0994,0.582,81.486,0i7jazn1Rtp51KPM4iSs6z,300991,4,indie
143,Wondering,Becky and the Birds,53,0.602,0.693,5,-6.134,0,0.0419,0.0856,0.00187,0.231,0.784,90.009,2MnleeJFcuEuZ6VoUunSPG,206076,4,indie
144,The People,Photay,44,0.846,0.69,11,-6.761,0,0.108,0.045,0.0952,0.0906,0.626,115.008,5ivXYN8XooE2s4vDc6Lg4T,304772,4,indie
145,Cayendo (Side A - Acoustic),Frank Ocean,72,0.35,0.12,3,-11.104,0,0.0393,0.982,0.000289,0.103,0.121,68.995,72794Eag03xdy7TO0KNuid,202200,4,indie
146,damn right,Little Simz,52,0.753,0.493,5,-5.928,0,0.178,0.136,0.000294,0.347,0.39,162.028,12sdOBTZdgxRalR74VwABF,120397,4,indie
147,Rapper Weed,SiR,65,0.551,0.674,7,-5.15,1,0.425,0.0446,0.0,0.0922,0.55,147.368,4Ami4MTReWxztxGW1ZmOk8,160000,4,indie
